timesteps,mean_return,std_return,mean_steps,mean_displacement,mean_speed,mean_final_x,mean_max_x,mean_strict_clearances,mean_stable_landings,mean_restart_successes,mean_validated_obstacles,mean_obstacle_fraction,success_rate
0,3.028739909588385,0.0,900.0,0.5047899849313975,0.0005608777610348861,0.9547899849313976,0.9547899849313976,0.0,0.0,0.0,0.0,0.0,0.0
5000,5.207765786690928,0.0,900.0,0.8679609644484877,0.0009644010716094307,1.3179609644484875,1.3179609644484875,0.0,0.0,0.0,0.0,0.0,0.0
10000,9.744637934963544,0.0,900.0,1.624106322493924,0.0018045625805488046,2.074106322493924,2.074106322493924,0.0,0.0,0.0,0.0,0.0,0.0
15000,112.31402083922046,0.0,795.0,2.0523368065367458,0.002581555731492762,2.502336806536746,2.502336806536746,0.0,0.0,0.0,0.0,0.0,1.0
20000,112.30995551523726,1.4210854715202004e-14,688.0,2.051659252539541,0.002982062867063287,2.5016592525395414,2.5016592525395414,0.0,0.0,0.0,0.0,0.0,1.0
25000,112.30970324223813,0.0,670.0,2.0516172070396843,0.0030621152343875886,2.5016172070396845,2.5016172070396845,0.0,0.0,0.0,0.0,0.0,1.0
30000,112.30418726351358,1.4210854715202004e-14,642.0,2.05069787725226,0.0031942334536639565,2.5006978772522603,2.5006978772522603,0.0,0.0,0.0,0.0,0.0,1.0
35000,112.31241046057819,1.4210854715202004e-14,630.0,2.0520684100963664,0.003257251444597407,2.5020684100963666,2.5020684100963666,0.0,0.0,0.0,0.0,0.0,1.0
40000,112.30884377686105,0.0,613.0,2.051473962810173,0.0033466133161666766,2.501473962810173,2.501473962810173,0.0,0.0,0.0,0.0,0.0,1.0
45000,112.31260761981939,1.4210854715202004e-14,611.0,2.0521012699698935,0.003358594549868893,2.5021012699698937,2.5021012699698937,0.0,0.0,0.0,0.0,0.0,1.0
50000,112.3130116340826,0.0,613.0,2.052168605680433,0.003347746501925665,2.502168605680433,2.502168605680433,0.0,0.0,0.0,0.0,0.0,1.0
55000,112.30794997322778,0.0,615.0,2.051324995537963,0.003335487797622704,2.501324995537963,2.501324995537963,0.0,0.0,0.0,0.0,0.0,1.0
60000,112.30837360959659,1.4210854715202004e-14,601.0,2.0513956015994355,0.003413303829616365,2.5013956015994356,2.5013956015994356,0.0,0.0,0.0,0.0,0.0,1.0
61440,112.31276373085142,0.0,603.0,2.0521272884752357,0.003403196166625598,2.502127288475236,2.502127288475236,0.0,0.0,0.0,0.0,0.0,1.0
