timesteps,long_legged__mean_return,long_legged__mean_max_x,long_legged__mean_obstacles_cleared,long_legged__success_rate,original__mean_return,original__mean_max_x,original__mean_obstacles_cleared,original__success_rate,layered__mean_return,layered__mean_max_x,layered__mean_obstacles_cleared,layered__success_rate
0,35.60332028318174,1.410298464120406,0.0,0.0,12.072806096383337,1.2306271546676588,0.0,0.0,8.209624088347454,1.1365921154579448,0.0,0.0
5000,30.346313828544936,1.386178277485638,0.0,0.0,13.725445038251129,1.2463129429064577,0.0,0.0,8.79902096779236,1.1362083611108398,0.0,0.0
10000,21.73246653704612,1.3577873783794203,0.0,0.0,17.51101906887375,1.2469220778402588,0.0,0.0,7.639048875327512,1.1400652242875493,0.0,0.0
15000,20.556028433676175,1.3364320079410472,0.0,0.0,18.155525690151727,1.2627308265267962,0.0,0.0,9.343302351674557,1.1417187155819368,0.0,0.0
20000,8.223882342582279,1.1926438471952217,0.0,0.0,14.092981734284436,1.2216245533226284,0.0,0.0,11.360209989833194,1.185132289986275,0.0,0.0
25000,14.506119686513683,1.2261552422196793,0.0,0.0,16.39593273776066,1.256084187915954,0.0,0.0,11.792007001505121,1.193590706890442,0.0,0.0
30000,36.21779483265674,1.4203164604436378,0.0,0.0,16.38708347111708,1.2475770026886326,0.0,0.0,11.98571111493902,1.1850347675771553,0.0,0.0
35000,31.7225045179204,1.391499753019618,0.0,0.0,16.11800483734471,1.255658908776016,0.0,0.0,8.80323182255557,1.1437866732431659,0.0,0.0
40000,19.34162965767029,1.3479978935152586,0.0,0.0,15.0272513566261,1.2540036761948152,0.0,0.0,7.520749867374701,1.143022630825206,0.0,0.0
45000,229.41937634670288,2.3143690178220724,2.0,1.0,17.0938424469002,1.2476161030275794,0.0,0.0,10.940517170756388,1.1674611803522426,0.0,0.0
50000,17.287153247658864,1.3101686095355898,0.0,0.0,14.379363002876431,1.2533732233913244,0.0,0.0,17.893544704457216,1.221289082559992,0.0,0.0
55000,26.116380126576512,1.3749170113047613,0.0,0.0,17.58383644028891,1.2594471472005817,0.0,0.0,18.654905962053128,1.249022547458318,0.0,0.0
60000,11.735133743667184,1.2569139779256358,0.0,0.0,15.083031835978689,1.255311710511504,0.0,0.0,13.856670039220361,1.1833834382934614,0.0,0.0
65000,17.044757366073615,1.3084841115481927,0.0,0.0,14.976344657050674,1.2571944622535955,0.0,0.0,18.550287729645,1.2416373909812013,0.0,0.0
70000,16.871761499683892,1.30892783008969,0.0,0.0,15.306860799230414,1.2539694717290497,0.0,0.0,14.100210259251448,1.1536164183935271,0.0,0.0
75000,,,,,15.049875483856114,1.2547974830744044,0.0,0.0,14.681757164226267,1.1750859215172973,0.0,0.0
80000,,,,,14.61195872386869,1.2628334393888436,0.0,0.0,17.82948405339773,1.216596959915827,0.0,0.0
85000,,,,,14.639640357177015,1.2651362458148045,0.0,0.0,9.523976190041822,1.1697681361181929,0.0,0.0
90000,,,,,15.957759083899214,1.2579749465126482,0.0,0.0,12.991817837774533,1.1704830776412216,0.0,0.0
95000,,,,,15.068799954429773,1.262857695621295,0.0,0.0,17.467495427387274,1.2676988380428795,0.0,0.0
100000,,,,,15.746699573904428,1.2656310461036515,0.0,0.0,14.136980159825283,1.223141301160244,0.0,0.0
105000,,,,,,,,,8.544199776335505,1.1603255414747762,0.0,0.0
110000,,,,,,,,,23.28373104966595,1.3020306275900124,0.0,0.0
115000,,,,,,,,,19.28581973387938,1.2465438818246521,0.0,0.0
120000,,,,,,,,,13.107865290877086,1.1983593695751455,0.0,0.0
125000,,,,,,,,,12.714692472122119,1.187255416062187,0.0,0.0
130000,,,,,,,,,13.558548898052512,1.2049115733707136,0.0,0.0
135000,,,,,,,,,7.293547958048635,1.1643517194398878,0.0,0.0
140000,,,,,,,,,10.14768011480467,1.1788917252998103,0.0,0.0
145000,,,,,,,,,17.96587545103191,1.22438245368318,0.0,0.0
150000,,,,,,,,,14.751151515591081,1.2196881979606022,0.0,0.0
151552,,,,,,,,,13.282702091334343,1.2019187978917534,0.0,0.0
